q,latitude,longitude,result_label,result_score,result_score_next,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
3 RUE FAUVEAU 92140 CLAMART Hauts-de-Seine,48.798005,2.259365,3 Rue Fauveau 92140 Clamart,0.6304166740576497,,housenumber,92023_3510_00003,3,3 Rue Fauveau,Rue Fauveau,92140,Clamart,"92, Hauts-de-Seine, Île-de-France",92023,,,,ok
2 RUE DE LA CERISAIE 92310 SEVRES Hauts-de-Seine,48.826021,2.206047,2 Rue de la Cerisaie 92310 Sèvres,0.6759236943907155,,housenumber,92072_0370_00002,2,2 Rue de la Cerisaie,Rue de la Cerisaie,92310,Sèvres,"92, Hauts-de-Seine, Île-de-France",92072,,,,ok
1 Villa DES CAMELIAS 92350 LE PLESSIS ROBINSON Hauts-de-Seine,48.779866,2.261439,1 Villa des Camelias 92350 Le Plessis-Robinson,0.7267672727272727,,housenumber,92060_1411_00001,1,1 Villa des Camelias,Villa des Camelias,92350,Le Plessis-Robinson,"92, Hauts-de-Seine, Île-de-France",92060,,,,ok
34 BOULEVARD EXELMANS 75016 PARIS Paris,48.841388,2.264346,34 Boulevard Exelmans 75016 Paris,0.8373329665071769,,housenumber,75116_3465_00034,34,34 Boulevard Exelmans,Boulevard Exelmans,75016,Paris,"75, Paris, Île-de-France",75116,,,Paris 16e Arrondissement,ok
10 AVENUE BOURGAIN 92130 ISSY LES MOULINEAUX Hauts-de-Seine,48.821821,2.267168,10 Avenue Bourgain 92130 Issy-les-Moulineaux,0.7370630094043886,,housenumber,92040_0670_00010,10,10 Avenue Bourgain,Avenue Bourgain,92130,Issy-les-Moulineaux,"92, Hauts-de-Seine, Île-de-France",92040,,,,ok
1 RUE RENE BOIN 93240 STAINS Seine-Saint-Denis,48.947635,2.378098,1 Rue Rene Boin 93240 Stains,0.600530909090909,,housenumber,93072_8133_00001,1,1 Rue Rene Boin,Rue Rene Boin,93240,Stains,"93, Seine-Saint-Denis, Île-de-France",93072,,,,ok
4 RUE ALLARD 94160 ST MANDE Val-de-Marne,48.840959,2.417201,4 Rue Allard 94160 Saint-Mandé,0.5847484989429175,,housenumber,94067_0035_00004,4,4 Rue Allard,Rue Allard,94160,Saint-Mandé,"94, Val-de-Marne, Île-de-France",94067,,,,ok
12 RUE MICHELET 95100 ARGENTEUIL Val-d'Oise,48.9481,2.252225,12 Rue Michelet 95100 Argenteuil,0.7286947619047619,0.5610795357833656,housenumber,95018_3590_00012,12,12 Rue Michelet,Rue Michelet,95100,Argenteuil,"95, Val-d'Oise, Île-de-France",95018,,,,ok
9 RUE JEAN RACINE 95140 GARGES LES GONESSE Val-d'Oise,48.975763,2.39155,9 Rue Jean Racine 95140 Garges-lès-Gonesse,0.7691532167832167,,housenumber,95268_0600_00009,9,9 Rue Jean Racine,Rue Jean Racine,95140,Garges-lès-Gonesse,"95, Val-d'Oise, Île-de-France",95268,,,,ok
39 BIS RUE LEMOINE RIVIERE 95100 ARGENTEUIL Val-d'Oise,48.951253,2.247883,39bis Rue Lemoine Riviere 95100 Argenteuil,0.7391588552188552,,housenumber,95018_3060_00039_bis,39bis,39bis Rue Lemoine Riviere,Rue Lemoine Riviere,95100,Argenteuil,"95, Val-d'Oise, Île-de-France",95018,,,,ok
6 Avenue CESAR CAIRE 75008 PARIS Paris,48.876359,2.319651,6 Avenue César Caire 75008 Paris,0.814305307125307,,housenumber,75108_1657_00006,6,6 Avenue César Caire,Avenue César Caire,75008,Paris,"75, Paris, Île-de-France",75108,,,Paris 8e Arrondissement,ok
9 PLACE ARTHUR HONEGGER 78180 MONTIGNY LE BRETONNEUX Yvelines,48.783877,2.044716,9 Place Arthur Honegger 78180 Montigny-le-Bretonneux,0.825331818181818,,housenumber,78423_1143_00009,9,9 Place Arthur Honegger,Place Arthur Honegger,78180,Montigny-le-Bretonneux,"78, Yvelines, Île-de-France",78423,,,,ok
37 Rue DES VOLONTAIRES 75730 PARIS CEDEX 15 Paris,48.84059,2.308691,37 Rue des Volontaires 75015 Paris,0.6330463636363636,,housenumber,75115_9902_00037,37,37 Rue des Volontaires,Rue des Volontaires,75015,Paris,"75, Paris, Île-de-France",75115,,,Paris 15e Arrondissement,ok
